,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
0,261.7356318632762,97.03794741630554,0.9784068899105783,0.4160029192647807,0.28539836866041823,940,18,136,4,68,76,5.497557739289786e-07,0.05936070635912049,0.060830282487222144,0.13556548021189216,171234,6,"{'colsample_bytree': 0.4160029192647807, 'learning_rate': 0.28539836866041823, 'max_bin': 940, 'max_depth': 18, 'min_child_samples': 136, 'min_child_weight': 4, 'n_estimators': 68, 'num_leaves': 76, 'reg_alpha': 5.497557739289786e-07, 'reg_lambda': 0.05936070635912049, 'scale_pos_weight': 0.060830282487222144, 'subsample': 0.13556548021189216, 'subsample_for_bin': 171234, 'subsample_freq': 6}",1,0.9784266740767186,0.9786823723842102,0.9781116232265161,1.6719054065437347,0.4453344719562745,0.00023342694526063903
1,373.65176598231,73.9861532052358,0.9809442336350463,0.8390144719977516,0.5842928269761146,373,48,174,1,57,40,0.0005266983003701547,276.5424475574225,0.3016410771843142,0.9923710598637134,406716,4,"{'colsample_bytree': 0.8390144719977516, 'learning_rate': 0.5842928269761146, 'max_bin': 373, 'max_depth': 48, 'min_child_samples': 174, 'min_child_weight': 1, 'n_estimators': 57, 'num_leaves': 40, 'reg_alpha': 0.0005266983003701547, 'reg_lambda': 276.5424475574225, 'scale_pos_weight': 0.3016410771843142, 'subsample': 0.9923710598637134, 'subsample_for_bin': 406716, 'subsample_freq': 4}",1,0.9811328252108593,0.9810411298118386,0.980658745839618,3.3074638498466777,0.08173839145985497,0.0002053118984866409
2,294.18675295511883,89.46976828575134,0.9807151935754269,0.4503841871781403,0.6877728743793542,194,23,42,5,58,77,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.387658500562527,179142,5,"{'colsample_bytree': 0.4503841871781403, 'learning_rate': 0.6877728743793542, 'max_bin': 194, 'max_depth': 23, 'min_child_samples': 42, 'min_child_weight': 5, 'n_estimators': 58, 'num_leaves': 77, 'reg_alpha': 0.00010376808625045426, 'reg_lambda': 476.96194787286544, 'scale_pos_weight': 1.3165669602830552, 'subsample': 0.387658500562527, 'subsample_for_bin': 179142, 'subsample_freq': 5}",1,0.9810947346489571,0.980743511649677,0.980307334366468,1.641744211432509,0.22783159149403567,0.00032207787089773374
3,126.27593763669331,9.107016960779825,0.5,0.8142720284737898,0.022066991249460103,638,41,107,1,88,88,0.1611980387486336,4.3806965488564525e-05,0.0009365503147654213,0.8391548832503206,344173,0,"{'colsample_bytree': 0.8142720284737898, 'learning_rate': 0.022066991249460103, 'max_bin': 638, 'max_depth': 41, 'min_child_samples': 107, 'min_child_weight': 1, 'n_estimators': 88, 'num_leaves': 88, 'reg_alpha': 0.1611980387486336, 'reg_lambda': 4.3806965488564525e-05, 'scale_pos_weight': 0.0009365503147654213, 'subsample': 0.8391548832503206, 'subsample_for_bin': 344173, 'subsample_freq': 0}",1,0.5,0.5,0.5,1.0935311470036546,0.05873443730953587,0.0
4,289.6093288262685,44.66283623377482,0.9454522052543187,0.8015579071911014,0.07517239253342656,574,37,181,7,71,67,1.5057560255472018e-06,0.08186810622382998,0.029004593634154585,0.8835665823899177,202222,3,"{'colsample_bytree': 0.8015579071911014, 'learning_rate': 0.07517239253342656, 'max_bin': 574, 'max_depth': 37, 'min_child_samples': 181, 'min_child_weight': 7, 'n_estimators': 71, 'num_leaves': 67, 'reg_alpha': 1.5057560255472018e-06, 'reg_lambda': 0.08186810622382998, 'scale_pos_weight': 0.029004593634154585, 'subsample': 0.8835665823899177, 'subsample_for_bin': 202222, 'subsample_freq': 3}",1,0.9450906264891615,0.946727171085722,0.9445388180510645,1.0376876151744774,0.5860227591431443,0.0009292565598572554
5,384.70066873232525,98.8826510111491,0.980318771661995,0.7366877378057127,0.7563790218678241,247,12,161,4,73,57,0.011683028450342707,0.0048879464985534336,0.13267482411031659,0.5689543694097536,108942,5,"{'colsample_bytree': 0.7366877378057127, 'learning_rate': 0.7563790218678241, 'max_bin': 247, 'max_depth': 12, 'min_child_samples': 161, 'min_child_weight': 4, 'n_estimators': 73, 'num_leaves': 57, 'reg_alpha': 0.011683028450342707, 'reg_lambda': 0.0048879464985534336, 'scale_pos_weight': 0.13267482411031659, 'subsample': 0.5689543694097536, 'subsample_for_bin': 108942, 'subsample_freq': 5}",1,0.9806230575269231,0.9805161176187376,0.9798171397650793,12.172981547123157,3.278704985883659,0.00035738394650302224
6,431.89938799540204,95.9107969601949,0.9786723426037017,0.6209085649172932,0.35540927532494104,423,44,121,6,82,46,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,344698,3,"{'colsample_bytree': 0.6209085649172932, 'learning_rate': 0.35540927532494104, 'max_bin': 423, 'max_depth': 44, 'min_child_samples': 121, 'min_child_weight': 6, 'n_estimators': 82, 'num_leaves': 46, 'reg_alpha': 0.004026635957416632, 'reg_lambda': 0.040887904512512056, 'scale_pos_weight': 109.72255122430063, 'subsample': 0.6612742297240571, 'subsample_for_bin': 344698, 'subsample_freq': 3}",1,0.9790380252686435,0.9786958023801339,0.9782832001039563,4.956139817213266,1.3515593048419867,0.00030860225168101565
7,136.45249350865683,8.968621810277304,0.5,0.5479690370134094,0.6918603669668356,547,42,69,1,79,9,2.9618722230360503e-06,8.153638964242,0.0015718563651880596,0.577028860872224,376134,1,"{'colsample_bytree': 0.5479690370134094, 'learning_rate': 0.6918603669668356, 'max_bin': 547, 'max_depth': 42, 'min_child_samples': 69, 'min_child_weight': 1, 'n_estimators': 79, 'num_leaves': 9, 'reg_alpha': 2.9618722230360503e-06, 'reg_lambda': 8.153638964242, 'scale_pos_weight': 0.0015718563651880596, 'subsample': 0.577028860872224, 'subsample_for_bin': 376134, 'subsample_freq': 1}",1,0.5,0.5,0.5,0.3488377177224599,0.11002214975348835,0.0
8,243.5953361193339,59.63593872388204,0.9798120325335004,0.955923206446829,0.2519085390684862,884,23,80,2,50,41,0.00022356829889037284,1.2908532337409298e-07,4.73588486119117,0.4499578015509351,149866,2,"{'colsample_bytree': 0.955923206446829, 'learning_rate': 0.2519085390684862, 'max_bin': 884, 'max_depth': 23, 'min_child_samples': 80, 'min_child_weight': 2, 'n_estimators': 50, 'num_leaves': 41, 'reg_alpha': 0.00022356829889037284, 'reg_lambda': 1.2908532337409298e-07, 'scale_pos_weight': 4.73588486119117, 'subsample': 0.4499578015509351, 'subsample_for_bin': 149866, 'subsample_freq': 2}",1,0.9803947113595232,0.9796303766940186,0.9794110094868058,2.3517416959997823,0.7010653621053026,0.00042163686778910314
9,182.71572240193686,78.74181421597798,0.9739732611344986,0.013594004182195795,0.43217539671382244,767,15,118,3,66,21,0.11080071157037095,5.745523087821567,3.573713830065675,0.029649078936835577,194589,7,"{'colsample_bytree': 0.013594004182195795, 'learning_rate': 0.43217539671382244, 'max_bin': 767, 'max_depth': 15, 'min_child_samples': 118, 'min_child_weight': 3, 'n_estimators': 66, 'num_leaves': 21, 'reg_alpha': 0.11080071157037095, 'reg_lambda': 5.745523087821567, 'scale_pos_weight': 3.573713830065675, 'subsample': 0.029649078936835577, 'subsample_for_bin': 194589, 'subsample_freq': 7}",1,0.974363641520508,0.974054354506405,0.9735017873058621,1.9569575324414301,0.6576210856144079,0.0003564924204697063
