,mean_fit_time,mean_score_time,mean_test_score,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score
33,0.5820343494415283,0.11100443204243977,0.9519376940575155,1.0,0.1926341304987228,290,42,86,9,50,21,5.915827646533674e-05,1.8020221394450478e-08,1.759750496491985,1.0,159993,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1926341304987228, 'max_bin': 290, 'max_depth': 42, 'min_child_samples': 86, 'min_child_weight': 9, 'n_estimators': 50, 'num_leaves': 21, 'reg_alpha': 5.915827646533674e-05, 'reg_lambda': 1.8020221394450478e-08, 'scale_pos_weight': 1.759750496491985, 'subsample': 1.0, 'subsample_for_bin': 159993, 'subsample_freq': 0}",1,0.9621547256969543,0.9454615800703188,0.948196469891259,0.08078480677168236,0.008945306637120256,0.007310405245156684
34,0.7766988277435303,0.17077239354451498,0.9404338267495376,0.7527105787923057,0.1943822388901677,571,50,93,8,53,24,0.00017322712521003925,1.2363133625501228e-08,499.99999999999994,0.9600058847650539,100000,0,"{'colsample_bytree': 0.7527105787923057, 'learning_rate': 0.1943822388901677, 'max_bin': 571, 'max_depth': 50, 'min_child_samples': 93, 'min_child_weight': 8, 'n_estimators': 53, 'num_leaves': 24, 'reg_alpha': 0.00017322712521003925, 'reg_lambda': 1.2363133625501228e-08, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.9600058847650539, 'subsample_for_bin': 100000, 'subsample_freq': 0}",1,0.953724162255264,0.9445879607966033,0.9229889584826929,0.06575581585521796,0.02599265041988108,0.012886861438963067
35,0.31564704577128094,0.023358901341756184,0.5,0.16263795532365474,0.21965820301320008,405,47,11,3,62,80,7.084032726843686e-05,3.3321876349312965e-08,1e-06,0.2858510052417247,100000,0,"{'colsample_bytree': 0.16263795532365474, 'learning_rate': 0.21965820301320008, 'max_bin': 405, 'max_depth': 47, 'min_child_samples': 11, 'min_child_weight': 3, 'n_estimators': 62, 'num_leaves': 80, 'reg_alpha': 7.084032726843686e-05, 'reg_lambda': 3.3321876349312965e-08, 'scale_pos_weight': 1e-06, 'subsample': 0.2858510052417247, 'subsample_for_bin': 100000, 'subsample_freq': 0}",1,0.5,0.5,0.5,0.03468469664647861,0.007207289135473455,0.0
36,0.9715820153554281,0.18244759241739908,0.9310881177571203,1.0,0.30329133788153084,820,35,144,6,84,49,0.007200224726926224,0.014127071077716352,1.4363435256310573,0.6811234635091928,500000,8,"{'colsample_bytree': 1.0, 'learning_rate': 0.30329133788153084, 'max_bin': 820, 'max_depth': 35, 'min_child_samples': 144, 'min_child_weight': 6, 'n_estimators': 84, 'num_leaves': 49, 'reg_alpha': 0.007200224726926224, 'reg_lambda': 0.014127071077716352, 'scale_pos_weight': 1.4363435256310573, 'subsample': 0.6811234635091928, 'subsample_for_bin': 500000, 'subsample_freq': 8}",1,0.9568410086730785,0.9284858374939362,0.9079367345098932,0.08059908074477566,0.015611295122641226,0.020049751752420866
37,0.6279603640238444,0.11316990852355957,0.9400418125304225,1.0,0.1641911961217558,357,38,26,10,50,28,1.8551987127348678e-06,2.134230537183773e-08,196.3539698527639,1.0,142033,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1641911961217558, 'max_bin': 357, 'max_depth': 38, 'min_child_samples': 26, 'min_child_weight': 10, 'n_estimators': 50, 'num_leaves': 28, 'reg_alpha': 1.8551987127348678e-06, 'reg_lambda': 2.134230537183773e-08, 'scale_pos_weight': 196.3539698527639, 'subsample': 1.0, 'subsample_for_bin': 142033, 'subsample_freq': 0}",1,0.9542837922404653,0.9446858941611322,0.9211553239260063,0.09912709981075292,0.005379159301096985,0.013917629181113807
38,0.5984748204549154,0.13647246360778809,0.9099157073981344,0.9473010086543464,1.0,667,6,33,8,50,40,6.958716773808021e-08,7.028039989906651e-09,84.17994240734498,1.0,462535,10,"{'colsample_bytree': 0.9473010086543464, 'learning_rate': 1.0, 'max_bin': 667, 'max_depth': 6, 'min_child_samples': 33, 'min_child_weight': 8, 'n_estimators': 50, 'num_leaves': 40, 'reg_alpha': 6.958716773808021e-08, 'reg_lambda': 7.028039989906651e-09, 'scale_pos_weight': 84.17994240734498, 'subsample': 1.0, 'subsample_for_bin': 462535, 'subsample_freq': 10}",1,0.933009944701282,0.9315121126131735,0.8652243720459004,0.06015992027694629,0.00468095842430012,0.03160722491280695
39,0.597098191579183,0.1424717903137207,0.9357330879062025,0.5744913300923981,0.3998833922812299,196,18,14,10,50,35,0.0006046617033050626,4.012871649477093e-09,3.2009393027945277,0.9612643224862392,333081,0,"{'colsample_bytree': 0.5744913300923981, 'learning_rate': 0.3998833922812299, 'max_bin': 196, 'max_depth': 18, 'min_child_samples': 14, 'min_child_weight': 10, 'n_estimators': 50, 'num_leaves': 35, 'reg_alpha': 0.0006046617033050626, 'reg_lambda': 4.012871649477093e-09, 'scale_pos_weight': 3.2009393027945277, 'subsample': 0.9612643224862392, 'subsample_for_bin': 333081, 'subsample_freq': 0}",1,0.9482280316893444,0.9480856576185182,0.9108851995586827,0.07903520492268733,0.007012300893841517,0.01757007471440544
40,0.6930356820424398,0.1874079704284668,0.9499682199065859,0.8223476474836332,0.16049679621940788,528,15,169,8,65,11,1e-09,1000.0,499.99999999999994,0.6093214138778714,435972,0,"{'colsample_bytree': 0.8223476474836332, 'learning_rate': 0.16049679621940788, 'max_bin': 528, 'max_depth': 15, 'min_child_samples': 169, 'min_child_weight': 8, 'n_estimators': 65, 'num_leaves': 11, 'reg_alpha': 1e-09, 'reg_lambda': 1000.0, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.6093214138778714, 'subsample_for_bin': 435972, 'subsample_freq': 0}",1,0.956978082432996,0.9493636209479736,0.943562746040809,0.1052806353020475,0.017103082472780497,0.0054934620775419106
41,0.5943602720896403,0.1208498477935791,0.9414483838994762,1.0,0.34086952566553874,1000,43,200,0,50,20,2.1214676444231874e-05,7.315924545580017e-08,2.003504127604858,1.0,132750,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.34086952566553874, 'max_bin': 1000, 'max_depth': 43, 'min_child_samples': 200, 'min_child_weight': 0, 'n_estimators': 50, 'num_leaves': 20, 'reg_alpha': 2.1214676444231874e-05, 'reg_lambda': 7.315924545580017e-08, 'scale_pos_weight': 2.003504127604858, 'subsample': 1.0, 'subsample_for_bin': 132750, 'subsample_freq': 0}",1,0.9506094246645251,0.9466078029011886,0.9271276492987435,0.08241852529155363,0.008185750235889922,0.010257145043036452
42,0.5863087972005209,0.0928209622701009,0.93436093577055,1.0,0.17095607828780138,812,23,29,10,50,24,7.981994417228291e-05,3.2157511047516883e-09,0.1672001459219996,0.8157935814165406,149770,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.17095607828780138, 'max_bin': 812, 'max_depth': 23, 'min_child_samples': 29, 'min_child_weight': 10, 'n_estimators': 50, 'num_leaves': 24, 'reg_alpha': 7.981994417228291e-05, 'reg_lambda': 3.2157511047516883e-09, 'scale_pos_weight': 0.1672001459219996, 'subsample': 0.8157935814165406, 'subsample_for_bin': 149770, 'subsample_freq': 0}",1,0.9618381380322217,0.9203474407462897,0.9208964042088272,0.08031132485399638,0.009677253824582887,0.019430899964719143
43,0.6042008399963379,0.0801703929901123,0.9495420563196351,1.0,0.04443983704055307,449,50,32,10,58,7,0.00028047628740859713,4.99731041764504e-09,313.4687954358154,1.0,100000,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.04443983704055307, 'max_bin': 449, 'max_depth': 50, 'min_child_samples': 32, 'min_child_weight': 10, 'n_estimators': 58, 'num_leaves': 7, 'reg_alpha': 0.00028047628740859713, 'reg_lambda': 4.99731041764504e-09, 'scale_pos_weight': 313.4687954358154, 'subsample': 1.0, 'subsample_for_bin': 100000, 'subsample_freq': 0}",1,0.9579565781960988,0.9512256964269616,0.9394436418976642,0.056787404646184134,0.007137890538793796,0.007651081932549261
44,0.3724377155303955,0.09354813893636067,0.9337639297422984,0.17325811883944345,0.05371339908677998,273,41,12,9,50,55,1e-09,1000.0,499.99999999999994,0.19979769323668875,327427,9,"{'colsample_bytree': 0.17325811883944345, 'learning_rate': 0.05371339908677998, 'max_bin': 273, 'max_depth': 41, 'min_child_samples': 12, 'min_child_weight': 9, 'n_estimators': 50, 'num_leaves': 55, 'reg_alpha': 1e-09, 'reg_lambda': 1000.0, 'scale_pos_weight': 499.99999999999994, 'subsample': 0.19979769323668875, 'subsample_for_bin': 327427, 'subsample_freq': 9}",1,0.9495452578014739,0.9224204083472497,0.9293256496335951,0.02241152672999482,0.010303758246670675,0.011509816397938851
45,0.6972396373748779,0.09739208221435547,0.9263200031499192,0.9575914657277209,0.01882889701033224,100,50,116,9,73,10,0.00020241584457071537,3.500464273753408e-08,0.7430130743808585,0.5671096260978339,175479,0,"{'colsample_bytree': 0.9575914657277209, 'learning_rate': 0.01882889701033224, 'max_bin': 100, 'max_depth': 50, 'min_child_samples': 116, 'min_child_weight': 9, 'n_estimators': 73, 'num_leaves': 10, 'reg_alpha': 0.00020241584457071537, 'reg_lambda': 3.500464273753408e-08, 'scale_pos_weight': 0.7430130743808585, 'subsample': 0.5671096260978339, 'subsample_for_bin': 175479, 'subsample_freq': 0}",1,0.954886916784102,0.919167947402539,0.9049042882471378,0.05030305966248636,0.018151870422890837,0.021022722027347267
46,0.839755137761434,0.18323834737141928,0.9348785489049802,1.0,1.0,1000,3,200,6,100,7,1e-09,1000.0,499.99999999999994,1.0,500000,0,"{'colsample_bytree': 1.0, 'learning_rate': 1.0, 'max_bin': 1000, 'max_depth': 3, 'min_child_samples': 200, 'min_child_weight': 6, 'n_estimators': 100, 'num_leaves': 7, 'reg_alpha': 1e-09, 'reg_lambda': 1000.0, 'scale_pos_weight': 499.99999999999994, 'subsample': 1.0, 'subsample_for_bin': 500000, 'subsample_freq': 0}",1,0.9425502783915343,0.9340540871215212,0.9280310510476992,0.027894401697486065,0.016239675667454774,0.005956064105367459
47,1.206330140431722,0.1578834056854248,0.9107381074510755,1.0,0.01,482,46,37,10,100,41,6.245474174319317e-07,1e-09,1.041238272470285,1.0,302898,0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_bin': 482, 'max_depth': 46, 'min_child_samples': 37, 'min_child_weight': 10, 'n_estimators': 100, 'num_leaves': 41, 'reg_alpha': 6.245474174319317e-07, 'reg_lambda': 1e-09, 'scale_pos_weight': 1.041238272470285, 'subsample': 1.0, 'subsample_for_bin': 302898, 'subsample_freq': 0}",1,0.925659100722326,0.9238800179446123,0.8826747560520136,0.12741908423645773,0.004157781963248844,0.019856924849816975
48,0.30042394002278644,0.05910245577494303,0.7268677399592904,1.0,0.27551835624069615,1000,18,200,0,50,44,5.768423950312084e-06,1.977845953270736e-08,6.46076214359575,0.01,354409,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.27551835624069615, 'max_bin': 1000, 'max_depth': 18, 'min_child_samples': 200, 'min_child_weight': 0, 'n_estimators': 50, 'num_leaves': 44, 'reg_alpha': 5.768423950312084e-06, 'reg_lambda': 1.977845953270736e-08, 'scale_pos_weight': 6.46076214359575, 'subsample': 0.01, 'subsample_for_bin': 354409, 'subsample_freq': 2}",1,0.87914312029435,0.8014555312764285,0.5,0.08614121251807501,0.027479974232805883,0.16352369342771186
49,0.812255859375,0.14717205365498862,0.943842580340098,0.8768832511322141,0.14357084028232914,722,23,68,5,57,53,0.0001899572379197501,8.67441323306874e-08,3.3800871691824605,1.0,199423,6,"{'colsample_bytree': 0.8768832511322141, 'learning_rate': 0.14357084028232914, 'max_bin': 722, 'max_depth': 23, 'min_child_samples': 68, 'min_child_weight': 5, 'n_estimators': 57, 'num_leaves': 53, 'reg_alpha': 0.0001899572379197501, 'reg_lambda': 8.67441323306874e-08, 'scale_pos_weight': 3.3800871691824605, 'subsample': 1.0, 'subsample_for_bin': 199423, 'subsample_freq': 6}",1,0.9481268079897132,0.9448063656150322,0.9385944388874341,0.09129513997191387,0.0034235140380137427,0.003950804124500039
